Timestamp,Saree ID,Material Type,Check Location,Light Reflection Reading,Light Transmittance Reading,Final Saree Status
2025-12-01 09:15:00,SK001,Silk,Center,78.5,42.3,1
2025-12-01 09:16:00,SK001,Silk,Center,78.5,42.3,1
2025-12-01 09:17:00,SK002,cotton,Edge,65.0,,0
2025-12-01 09:18:00,SK003,Synthetic,Fold,91.2,19.8,1
2025-12-01 09:19:00,SK004, silk ,Center,  88.1, 35.5,1
2025-12-01 09:20:00,SK005,Cotton,Edge,72.4,35.0,0
2025-12-01 09:21:00,SK006,Silk,Center,999.9,42.1,1
2025-12-01 09:22:00,SK007,Synthetic,Fold,55.5,55.5,0
2025-12-01 09:23:00,SK008,Cotton,Edge,,38.2,0
2025-12-01 09:24:00,SK009,Silk,Center,77.0,40.0,1
2025-12-01 09:25:00,SK010,Synthetic,Fold,60.0,30.0,0
2025-12-01 09:26:00,SK011,Cotton,Center,71.5,36.5,0
2025-12-01 09:27:00,SK012,Silk,Edge,82.3,41.2,1
2025-12-01 09:28:00,SK013,Synthetic,Fold,58.9,29.4,0
2025-12-01 09:29:00,SK014,Cotton,Center,73.1,37.0,0
2025-12-01 09:30:00,SK015,Silk,Edge,80.0,40.5,1
2025-12-01 09:31:00,SK016,Synthetic,Fold,57.0,28.5,0
2025-12-01 09:32:00,SK017,Cotton,Center,74.0,37.2,0
2025-12-01 09:33:00,SK018,Silk,Edge,81.0,41.0,1
2025-12-01 09:34:00,SK019,Synthetic,Fold,59.5,29.8,0
2025-12-01 09:35:00,SK020,Cotton,Center,72.8,36.4,0
2025-12-01 09:36:00,SK021,Silk,Edge,79.5,40.2,1
2025-12-01 09:37:00,SK022,Synthetic,Fold,56.2,28.1,0
2025-12-01 09:38:00,SK023,Cotton,Center,73.5,36.8,0
2025-12-01 09:39:00,SK024,Silk,Edge,80.8,40.9,1
2025-12-01 09:40:00,SK025,Synthetic,Fold,58.0,29.0,0
2025-12-01 09:41:00,SK026,Cotton,Center,71.9,36.0,0
2025-12-01 09:42:00,SK027,Silk,Edge,81.5,41.5,1
2025-12-01 09:43:00,SK028,Synthetic,Fold,57.8,28.9,0
2025-12-01 09:44:00,SK029,Cotton,Center,74.2,37.1,0
2025-12-01 09:45:00,SK030,Silk,Edge,80.2,40.3,1
2025-12-01 09:46:00,SK031,Synthetic,Fold,56.5,28.3,0
2025-12-01 09:47:00,SK032,Cotton,Center,73.8,36.9,0
2025-12-01 09:48:00,SK033,Silk,Edge,79.8,40.1,1
2025-12-01 09:49:00,SK034,Synthetic,Fold,58.5,29.3,0
2025-12-01 09:50:00,SK035,Cotton,Center,72.6,36.3,0
2025-12-01 09:51:00,SK036,Silk,Edge,81.2,41.3,1
2025-12-01 09:52:00,SK037,Synthetic,Fold,57.3,28.7,0
2025-12-01 09:53:00,SK038,Cotton,Center,74.5,37.3,0
2025-12-01 09:54:00,SK039,Silk,Edge,80.5,40.7,1
2025-12-01 09:55:00,SK040,Synthetic,Fold,56.8,28.4,0
2025-12-01 09:56:00,SK041,Cotton,Center,73.3,36.7,0
2025-12-01 09:57:00,SK042,Silk,Edge,81.8,41.6,1
2025-12-01 09:58:00,SK043,Synthetic,Fold,58.2,29.1,0
2025-12-01 09:59:00,SK044,Cotton,Center,72.1,36.1,0
2025-12-01 10:00:00,SK045,Silk,Edge,79.9,40.4,1
2025-12-01 10:01:00,SK046,Synthetic,Fold,57.1,28.6,0
2025-12-01 10:02:00,SK047,Cotton,Center,74.3,37.2,0
2025-12-01 10:03:00,SK048,Silk,Edge,80.9,41.1,1
2025-12-01 10:04:00,SK049,Synthetic,Fold,56.9,28.5,0
